Entity,Code,Day,total_vaccinations_per_hundred
Alabama,,2021-05-22,60.42
Alabama,,2021-05-23,60.82
Alabama,,2021-05-24,60.82
Alabama,,2021-05-25,61.11
Alabama,,2021-05-26,61.24
Alabama,,2021-05-27,61.34
Alabama,,2021-05-28,61.53
Alabama,,2021-05-29,61.6
Alabama,,2021-05-30,61.62
Alabama,,2021-06-01,61.64
Alabama,,2021-06-02,61.7
Alabama,,2021-06-03,61.71
Alabama,,2021-06-04,61.85
Alabama,,2021-06-05,61.86
Alabama,,2021-06-06,61.9
Alabama,,2021-06-07,61.93
Alabama,,2021-06-08,61.94
Alabama,,2021-06-09,62.01
Alabama,,2021-06-10,62.5
Alabama,,2021-06-11,62.78
Alabama,,2021-06-12,63.33
Alabama,,2021-06-13,63.52
Alabama,,2021-06-14,63.8
Alabama,,2021-06-15,63.83
Alabama,,2021-06-16,64.08
Alabama,,2021-06-17,66.35
Alabama,,2021-06-18,66.37
Alabama,,2021-06-19,66.8
Alabama,,2021-06-20,66.94
Alabama,,2021-06-21,67.01
Alabama,,2021-06-22,67.13
Alabama,,2021-06-23,67.28
Alabama,,2021-06-24,67.48
Alaska,,2021-01-12,4.9
Alaska,,2021-01-13,5.29
Alaska,,2021-01-14,5.82
Alaska,,2021-01-15,6.7
Alaska,,2021-01-19,9.07
Alaska,,2021-01-20,9.34
Alaska,,2021-01-21,9.83
Alaska,,2021-01-22,11.09
Alaska,,2021-01-23,12.08
Alaska,,2021-01-24,12.88
Alaska,,2021-01-25,13.26
Alaska,,2021-01-26,13.42
Alaska,,2021-01-27,13.89
Alaska,,2021-01-28,14.47
Alaska,,2021-01-29,15.09
Alaska,,2021-01-30,15.76
Alaska,,2021-01-31,16.35
Alaska,,2021-02-01,16.68
Alaska,,2021-02-02,16.87
Alaska,,2021-02-03,17.19
Alaska,,2021-02-04,17.76
Alaska,,2021-02-05,18.32
Alaska,,2021-02-06,19.02
Alaska,,2021-02-07,19.97
Alaska,,2021-02-08,20.63
Alaska,,2021-02-09,20.9
Alaska,,2021-02-10,21.36
Alaska,,2021-02-11,22.18
Alaska,,2021-02-12,22.89
Alaska,,2021-02-13,23.94
Alaska,,2021-02-14,25.13
Alaska,,2021-02-16,26.11
Alaska,,2021-02-17,26.47
Alaska,,2021-02-18,27.22
Alaska,,2021-02-19,29.56
Alaska,,2021-02-20,31.09
Alaska,,2021-02-21,32.14
Alaska,,2021-02-22,32.57
Alaska,,2021-02-23,32.8
Alaska,,2021-02-24,33.31
Alaska,,2021-02-25,34.11
Alaska,,2021-02-26,34.77
Alaska,,2021-02-27,35.48
Alaska,,2021-02-28,36.19
Alaska,,2021-03-01,36.69
Alaska,,2021-03-02,36.9
Alaska,,2021-03-03,37.37
Alaska,,2021-03-04,37.85
Alaska,,2021-03-05,38.48
Alaska,,2021-03-06,39.45
Alaska,,2021-03-07,40.33
Alaska,,2021-03-08,40.76
Alaska,,2021-03-09,41.38
Alaska,,2021-03-10,42.07
Alaska,,2021-03-11,42.84
Alaska,,2021-03-12,43.54
Alaska,,2021-03-13,44.33
Alaska,,2021-03-14,45.57
Alaska,,2021-03-15,46.09
Alaska,,2021-03-16,46.43
Alaska,,2021-03-17,47.3
Alaska,,2021-03-18,47.99
Alaska,,2021-03-19,48.67
Alaska,,2021-03-20,49.58
Alaska,,2021-03-21,50.91
Alaska,,2021-03-22,51.34
Alaska,,2021-03-23,51.47
Alaska,,2021-03-24,51.85
Alaska,,2021-03-25,52.56
Alaska,,2021-03-26,53.28
Alaska,,2021-03-27,54.08
Alaska,,2021-03-28,54.88
Alaska,,2021-03-29,55.13
Alaska,,2021-03-30,55.27
Alaska,,2021-03-31,55.67
Alaska,,2021-04-01,56.25
Alaska,,2021-04-02,56.82
Alaska,,2021-04-03,57.45
Alaska,,2021-04-04,58.58
Alaska,,2021-04-05,58.98
Alaska,,2021-04-06,59.15
Alaska,,2021-04-07,59.69
Alaska,,2021-04-08,60.6
Alaska,,2021-04-09,61.29
Alaska,,2021-04-10,62.3
Alaska,,2021-04-11,63.06
Alaska,,2021-04-12,63.6
Alaska,,2021-04-13,67.8
Alaska,,2021-04-14,68.31
Alaska,,2021-04-15,68.32
Alaska,,2021-04-16,69.01
Alaska,,2021-04-17,69.69
Alaska,,2021-04-18,70.47
Alaska,,2021-04-19,70.74
Alaska,,2021-04-20,70.95
Alaska,,2021-04-21,71.73
Alaska,,2021-04-22,72.47
Alaska,,2021-04-23,72.93
Alaska,,2021-04-24,73.4
Alaska,,2021-04-25,73.77
Alaska,,2021-04-26,73.89
Alaska,,2021-04-27,74.03
Alaska,,2021-04-28,74.26
Alaska,,2021-04-29,75.25
Alaska,,2021-04-30,75.57
Alaska,,2021-05-01,76.64
Alaska,,2021-05-02,76.88
Alaska,,2021-05-03,76.94
Alaska,,2021-05-04,76.99
Alaska,,2021-05-05,77.2
Alaska,,2021-05-06,77.51
Alaska,,2021-05-07,77.79
Alaska,,2021-05-08,78.1
Alaska,,2021-05-09,78.1
Alaska,,2021-05-10,78.62
Alaska,,2021-05-11,78.75
Alaska,,2021-05-12,78.92
Alaska,,2021-05-13,79.14
Alaska,,2021-05-14,79.39
Alaska,,2021-05-15,79.78
Alaska,,2021-05-16,80.2
Alaska,,2021-05-17,80.3
Alaska,,2021-05-18,80.38
Alaska,,2021-05-19,80.77
Alaska,,2021-05-20,81.08
Alaska,,2021-05-21,81.46
Alaska,,2021-05-22,81.81
Alaska,,2021-05-23,82.17
Alaska,,2021-05-24,82.29
Alaska,,2021-05-25,82.36
Alaska,,2021-05-26,82.55
Alaska,,2021-05-27,82.78
Alaska,,2021-05-28,83.1
Alaska,,2021-05-29,83.39
Alaska,,2021-05-30,83.6
Alaska,,2021-06-01,83.75
Alaska,,2021-06-02,83.78
Alaska,,2021-06-03,84.03
Alaska,,2021-06-04,84.27
Alaska,,2021-06-05,84.56
Alaska,,2021-06-06,84.92
Alaska,,2021-06-07,85.15
Alaska,,2021-06-08,85.21
Alaska,,2021-06-09,85.23
Alaska,,2021-06-10,85.56
Alaska,,2021-06-11,85.78
Alaska,,2021-06-12,86.05
Alaska,,2021-06-13,86.25
Alaska,,2021-06-14,86.47
Alaska,,2021-06-15,86.59
Alaska,,2021-06-16,86.78
Alaska,,2021-06-17,86.96
Alaska,,2021-06-18,87.15
Alaska,,2021-06-19,87.33
Alaska,,2021-06-20,87.48
Alaska,,2021-06-21,87.65
Alaska,,2021-06-22,87.69
Alaska,,2021-06-23,87.77
Alaska,,2021-06-24,87.97
American Samoa,ASM,2021-01-12,3.81
American Samoa,ASM,2021-01-13,4.63
American Samoa,ASM,2021-01-14,5.33
American Samoa,ASM,2021-01-15,6.97
American Samoa,ASM,2021-01-19,8.54
American Samoa,ASM,2021-01-20,9.54
American Samoa,ASM,2021-01-21,10.17
American Samoa,ASM,2021-01-22,11.8
American Samoa,ASM,2021-01-23,12.27
American Samoa,ASM,2021-01-24,14.45
American Samoa,ASM,2021-01-25,14.45
American Samoa,ASM,2021-01-26,14.93
American Samoa,ASM,2021-01-27,16.31
American Samoa,ASM,2021-01-28,16.31
American Samoa,ASM,2021-01-29,17.82
American Samoa,ASM,2021-01-30,17.82
American Samoa,ASM,2021-01-31,17.82
American Samoa,ASM,2021-02-01,19.32
American Samoa,ASM,2021-02-02,19.32
American Samoa,ASM,2021-02-03,19.87
American Samoa,ASM,2021-02-04,20.21
American Samoa,ASM,2021-02-05,21.6
American Samoa,ASM,2021-02-06,22.01
American Samoa,ASM,2021-02-07,22.01
American Samoa,ASM,2021-02-08,22.01
American Samoa,ASM,2021-02-09,22.77
American Samoa,ASM,2021-02-10,23.91
American Samoa,ASM,2021-02-11,24.27
American Samoa,ASM,2021-02-12,26.99
American Samoa,ASM,2021-02-13,27.62
American Samoa,ASM,2021-02-14,27.62
American Samoa,ASM,2021-02-16,28.93
American Samoa,ASM,2021-02-17,29.21
American Samoa,ASM,2021-02-18,29.21
American Samoa,ASM,2021-02-19,29.21
American Samoa,ASM,2021-02-20,31.86
American Samoa,ASM,2021-02-21,33.72
American Samoa,ASM,2021-02-22,33.79
American Samoa,ASM,2021-02-23,33.79
American Samoa,ASM,2021-02-24,35.45
American Samoa,ASM,2021-02-25,35.45
American Samoa,ASM,2021-02-26,36.52
American Samoa,ASM,2021-02-27,36.52
American Samoa,ASM,2021-02-28,36.52
American Samoa,ASM,2021-03-01,36.52
American Samoa,ASM,2021-03-02,37.85
American Samoa,ASM,2021-03-03,37.85
American Samoa,ASM,2021-03-04,38.83
American Samoa,ASM,2021-03-05,38.83
American Samoa,ASM,2021-03-06,38.83
American Samoa,ASM,2021-03-07,38.83
American Samoa,ASM,2021-03-08,38.83
American Samoa,ASM,2021-03-09,38.83
American Samoa,ASM,2021-03-10,42.55
American Samoa,ASM,2021-03-11,42.55
American Samoa,ASM,2021-03-12,42.55
American Samoa,ASM,2021-03-13,42.55
American Samoa,ASM,2021-03-14,42.55
American Samoa,ASM,2021-03-15,43.64
American Samoa,ASM,2021-03-16,43.64
American Samoa,ASM,2021-03-17,43.64
American Samoa,ASM,2021-03-18,43.64
American Samoa,ASM,2021-03-19,43.64
American Samoa,ASM,2021-03-20,43.64
American Samoa,ASM,2021-03-21,43.64
American Samoa,ASM,2021-03-22,48.51
American Samoa,ASM,2021-03-23,48.96
American Samoa,ASM,2021-03-24,49.99
American Samoa,ASM,2021-03-25,50.04
American Samoa,ASM,2021-03-26,51.18
American Samoa,ASM,2021-03-27,51.23
American Samoa,ASM,2021-03-28,51.23
American Samoa,ASM,2021-03-29,51.23
American Samoa,ASM,2021-03-30,52.22
American Samoa,ASM,2021-03-31,55.97
American Samoa,ASM,2021-04-01,55.97
American Samoa,ASM,2021-04-02,57.03
American Samoa,ASM,2021-04-03,57.03
American Samoa,ASM,2021-04-04,57.06
American Samoa,ASM,2021-04-05,57.06
American Samoa,ASM,2021-04-06,57.06
American Samoa,ASM,2021-04-07,59
American Samoa,ASM,2021-04-08,59.09
American Samoa,ASM,2021-04-09,60.24
American Samoa,ASM,2021-04-10,60.24
American Samoa,ASM,2021-04-11,61.35
American Samoa,ASM,2021-04-12,61.35
American Samoa,ASM,2021-04-13,61.35
American Samoa,ASM,2021-04-14,62.46
American Samoa,ASM,2021-04-15,62.46
American Samoa,ASM,2021-04-16,64.59
American Samoa,ASM,2021-04-17,64.59
American Samoa,ASM,2021-04-18,64.59
American Samoa,ASM,2021-04-19,64.59
American Samoa,ASM,2021-04-20,64.59
American Samoa,ASM,2021-04-21,64.81
American Samoa,ASM,2021-04-22,64.81
American Samoa,ASM,2021-04-23,66.86
American Samoa,ASM,2021-04-24,66.86
American Samoa,ASM,2021-04-25,67.5
American Samoa,ASM,2021-04-26,67.5
American Samoa,ASM,2021-04-27,67.89
American Samoa,ASM,2021-04-28,67.89
American Samoa,ASM,2021-04-29,68.84
American Samoa,ASM,2021-04-30,69.57
American Samoa,ASM,2021-05-01,69.57
American Samoa,ASM,2021-05-02,69.57
American Samoa,ASM,2021-05-03,69.57
American Samoa,ASM,2021-05-04,70.26
American Samoa,ASM,2021-05-05,70.51
American Samoa,ASM,2021-05-06,70.51
American Samoa,ASM,2021-05-07,71.23
American Samoa,ASM,2021-05-08,71.23
American Samoa,ASM,2021-05-09,71.23
American Samoa,ASM,2021-05-10,71.23
American Samoa,ASM,2021-05-11,71.23
American Samoa,ASM,2021-05-12,71.23
American Samoa,ASM,2021-05-13,71.99
American Samoa,ASM,2021-05-14,71.99
American Samoa,ASM,2021-05-15,72.77
American Samoa,ASM,2021-05-16,72.77
American Samoa,ASM,2021-05-17,72.77
American Samoa,ASM,2021-05-18,72.77
American Samoa,ASM,2021-05-19,74.45
American Samoa,ASM,2021-05-20,74.45
American Samoa,ASM,2021-05-21,75.25
American Samoa,ASM,2021-05-22,75.25
American Samoa,ASM,2021-05-23,75.25
American Samoa,ASM,2021-05-24,75.25
American Samoa,ASM,2021-05-25,75.25
American Samoa,ASM,2021-05-26,75.25
American Samoa,ASM,2021-05-27,76.34
American Samoa,ASM,2021-05-28,76.34
American Samoa,ASM,2021-05-29,76.34
American Samoa,ASM,2021-05-30,76.34
American Samoa,ASM,2021-06-01,76.34
American Samoa,ASM,2021-06-02,77.31
American Samoa,ASM,2021-06-03,77.31
American Samoa,ASM,2021-06-04,77.31
American Samoa,ASM,2021-06-05,77.93
American Samoa,ASM,2021-06-06,77.93
American Samoa,ASM,2021-06-07,77.93
American Samoa,ASM,2021-06-08,77.93
American Samoa,ASM,2021-06-09,77.93
American Samoa,ASM,2021-06-10,77.93
American Samoa,ASM,2021-06-11,78.49
American Samoa,ASM,2021-06-12,78.49
American Samoa,ASM,2021-06-13,79.04
American Samoa,ASM,2021-06-14,79.04
American Samoa,ASM,2021-06-15,79.7
American Samoa,ASM,2021-06-16,80.17
American Samoa,ASM,2021-06-17,80.17
American Samoa,ASM,2021-06-18,80.85
American Samoa,ASM,2021-06-19,80.85
American Samoa,ASM,2021-06-20,80.85
American Samoa,ASM,2021-06-21,80.85
American Samoa,ASM,2021-06-22,81.41
American Samoa,ASM,2021-06-23,81.41
American Samoa,ASM,2021-06-24,82.15
Arizona,,2021-01-12,1.94
Arizona,,2021-01-13,2.13
Arizona,,2021-01-14,2.39
Arizona,,2021-01-15,2.71
Arizona,,2021-01-19,3.66
Arizona,,2021-01-20,3.87
Arizona,,2021-01-21,4.18
Arizona,,2021-01-22,4.52
Arizona,,2021-01-23,4.96
Arizona,,2021-01-24,5.37
Arizona,,2021-01-25,5.68
Arizona,,2021-01-26,5.92
Arizona,,2021-01-27,6.3
Arizona,,2021-01-28,6.69
Arizona,,2021-01-29,7.16
Arizona,,2021-01-30,7.66
Arizona,,2021-01-31,8.16
Arizona,,2021-02-01,8.53
Arizona,,2021-02-02,8.68
Arizona,,2021-02-03,9.01
Arizona,,2021-02-04,9.43
Arizona,,2021-02-05,9.88
Arizona,,2021-02-06,10.53
Arizona,,2021-02-07,11.12
Arizona,,2021-02-08,11.55
Arizona,,2021-02-09,11.87
Arizona,,2021-02-10,12.33
Arizona,,2021-02-11,12.94
Arizona,,2021-02-12,13.61
Arizona,,2021-02-13,14.3
Arizona,,2021-02-14,14.96
Arizona,,2021-02-16,15.86
Arizona,,2021-02-17,16
Arizona,,2021-02-18,16.52
Arizona,,2021-02-19,18.91
Arizona,,2021-02-20,19.58
Arizona,,2021-02-21,20.19
Arizona,,2021-02-22,20.7
Arizona,,2021-02-23,20.96
Arizona,,2021-02-24,21.38
Arizona,,2021-02-25,22.09
Arizona,,2021-02-26,22.96
Arizona,,2021-02-27,23.74
Arizona,,2021-02-28,24.63
Arizona,,2021-03-01,25.41
Arizona,,2021-03-02,25.96
Arizona,,2021-03-03,26.53
Arizona,,2021-03-04,27.2
Arizona,,2021-03-05,28.01
Arizona,,2021-03-06,28.08
Arizona,,2021-03-07,29.71
Arizona,,2021-03-08,30.43
Arizona,,2021-03-09,30.86
Arizona,,2021-03-10,31.51
Arizona,,2021-03-11,32.29
Arizona,,2021-03-12,33.22
Arizona,,2021-03-13,34.14
Arizona,,2021-03-14,35.14
Arizona,,2021-03-15,35.8
Arizona,,2021-03-16,36.48
Arizona,,2021-03-17,37.06
Arizona,,2021-03-18,37.86
Arizona,,2021-03-19,37.93
Arizona,,2021-03-20,38.82
Arizona,,2021-03-21,39.75
Arizona,,2021-03-22,40.43
Arizona,,2021-03-23,40.81
Arizona,,2021-03-24,41.35
Arizona,,2021-03-25,42.68
Arizona,,2021-03-26,43.54
Arizona,,2021-03-27,44.51
Arizona,,2021-03-28,45.46
Arizona,,2021-03-29,46.2
Arizona,,2021-03-30,46.7
Arizona,,2021-03-31,47.42
Arizona,,2021-04-01,48.26
Arizona,,2021-04-02,49.2
Arizona,,2021-04-03,50.2
Arizona,,2021-04-04,51.11
Arizona,,2021-04-05,51.83
Arizona,,2021-04-06,52.33
Arizona,,2021-04-07,52.96
Arizona,,2021-04-08,53.6
Arizona,,2021-04-09,54.62
Arizona,,2021-04-10,55.7
Arizona,,2021-04-11,56.67
Arizona,,2021-04-12,57.28
Arizona,,2021-04-13,57.76
Arizona,,2021-04-14,58.4
Arizona,,2021-04-15,59.17
Arizona,,2021-04-16,59.99
Arizona,,2021-04-17,61.01
Arizona,,2021-04-18,61.9
Arizona,,2021-04-19,62.51
Arizona,,2021-04-20,62.94
Arizona,,2021-04-21,63.64
Arizona,,2021-04-22,64.42
Arizona,,2021-04-23,65.26
Arizona,,2021-04-24,66.15
Arizona,,2021-04-25,66.94
Arizona,,2021-04-26,67.49
Arizona,,2021-04-27,67.88
Arizona,,2021-04-28,68.43
Arizona,,2021-04-29,69.03
Arizona,,2021-04-30,69.66
Arizona,,2021-05-01,70.39
Arizona,,2021-05-02,70.93
Arizona,,2021-05-03,71.12
Arizona,,2021-05-04,71.36
Arizona,,2021-05-05,71.67
Arizona,,2021-05-06,72.26
Arizona,,2021-05-07,72.83
Arizona,,2021-05-08,73.33
Arizona,,2021-05-09,73.81
Arizona,,2021-05-10,74.35
Arizona,,2021-05-11,74.88
Arizona,,2021-05-12,75.17
Arizona,,2021-05-13,75.52
Arizona,,2021-05-14,75.86
Arizona,,2021-05-15,76.36
Arizona,,2021-05-16,76.91
Arizona,,2021-05-17,77.19
Arizona,,2021-05-18,77.42
Arizona,,2021-05-19,77.81
Arizona,,2021-05-20,78.13
Arizona,,2021-05-21,78.56
Arizona,,2021-05-22,79.19
Arizona,,2021-05-23,79.7
Arizona,,2021-05-24,80.09
Arizona,,2021-05-25,80.25
Arizona,,2021-05-26,80.46
Arizona,,2021-05-27,80.78
Arizona,,2021-05-28,81.14
Arizona,,2021-05-29,81.46
Arizona,,2021-05-30,81.78
Arizona,,2021-06-01,82.11
Arizona,,2021-06-02,82.21
Arizona,,2021-06-03,82.39
Arizona,,2021-06-04,82.65
Arizona,,2021-06-05,83.02
Arizona,,2021-06-06,83.36
Arizona,,2021-06-07,83.68
Arizona,,2021-06-08,83.87
Arizona,,2021-06-09,84.11
Arizona,,2021-06-10,84.12
Arizona,,2021-06-11,84.5
Arizona,,2021-06-12,84.95
Arizona,,2021-06-13,85.21
Arizona,,2021-06-14,85.47
Arizona,,2021-06-15,85.69
Arizona,,2021-06-16,85.69
Arizona,,2021-06-17,86.45
Arizona,,2021-06-18,86.71
Arizona,,2021-06-19,86.99
Arizona,,2021-06-20,87.2
Arizona,,2021-06-21,87.21
Arizona,,2021-06-22,87.52
Arizona,,2021-06-23,87.67
Arizona,,2021-06-24,87.86
Arkansas,,2021-01-12,1.35
Arkansas,,2021-01-13,3.14
Arkansas,,2021-01-14,3.59
Arkansas,,2021-01-15,3.92
Arkansas,,2021-01-19,4.72
Arkansas,,2021-01-20,5.74
Arkansas,,2021-01-21,5.74
Arkansas,,2021-01-22,6.68
Arkansas,,2021-01-23,6.68
Arkansas,,2021-01-24,7.1
Arkansas,,2021-01-25,7.33
Arkansas,,2021-01-26,7.83
Arkansas,,2021-01-27,8.38
Arkansas,,2021-01-28,8.38
Arkansas,,2021-01-29,8.95
Arkansas,,2021-01-30,9.56
Arkansas,,2021-01-31,10.07
Arkansas,,2021-02-01,10.31
Arkansas,,2021-02-02,10.42
Arkansas,,2021-02-03,10.68
Arkansas,,2021-02-04,11.21
Arkansas,,2021-02-05,11.64
Arkansas,,2021-02-06,12.42
Arkansas,,2021-02-07,13.04
Arkansas,,2021-02-08,13.31
Arkansas,,2021-02-09,13.39
Arkansas,,2021-02-10,13.85
Arkansas,,2021-02-11,14.28
Arkansas,,2021-02-12,14.82
Arkansas,,2021-02-13,15.16
Arkansas,,2021-02-14,15.66
Arkansas,,2021-02-16,16.02
Arkansas,,2021-02-17,16.14
Arkansas,,2021-02-18,16.26
Arkansas,,2021-02-19,17.14
Arkansas,,2021-02-20,17.26
Arkansas,,2021-02-21,17.51
Arkansas,,2021-02-22,17.74
Arkansas,,2021-02-23,17.9
Arkansas,,2021-02-24,18.37
Arkansas,,2021-02-25,18.97
Arkansas,,2021-02-26,19.82
Arkansas,,2021-02-27,20.63
Arkansas,,2021-02-28,21.52
Arkansas,,2021-03-01,21.92
Arkansas,,2021-03-02,22.23
Arkansas,,2021-03-03,22.78
Arkansas,,2021-03-04,23.34
Arkansas,,2021-03-05,23.98
Arkansas,,2021-03-06,24.66
Arkansas,,2021-03-07,25.36
Arkansas,,2021-03-08,25.63
Arkansas,,2021-03-09,25.94
Arkansas,,2021-03-10,26.48
Arkansas,,2021-03-11,26.51
Arkansas,,2021-03-12,27.72
Arkansas,,2021-03-13,29.25
Arkansas,,2021-03-14,29.25
Arkansas,,2021-03-15,29.58
Arkansas,,2021-03-16,29.73
Arkansas,,2021-03-17,30.24
Arkansas,,2021-03-18,30.81
Arkansas,,2021-03-19,31.58
Arkansas,,2021-03-20,32.31
Arkansas,,2021-03-21,33.12
Arkansas,,2021-03-22,33.42
Arkansas,,2021-03-23,33.55
Arkansas,,2021-03-24,34.21
Arkansas,,2021-03-25,35
Arkansas,,2021-03-26,35.99
Arkansas,,2021-03-27,36.93
Arkansas,,2021-03-28,37.9
Arkansas,,2021-03-29,38.23
Arkansas,,2021-03-30,38.41
Arkansas,,2021-03-31,39.21
Arkansas,,2021-04-01,40.09
Arkansas,,2021-04-02,41.22
Arkansas,,2021-04-03,43.26
Arkansas,,2021-04-04,43.3
Arkansas,,2021-04-05,43.61
Arkansas,,2021-04-06,43.91
Arkansas,,2021-04-07,44.78
Arkansas,,2021-04-08,45.72
Arkansas,,2021-04-09,46.58
Arkansas,,2021-04-10,47.72
Arkansas,,2021-04-11,48.69
Arkansas,,2021-04-12,49
Arkansas,,2021-04-13,49.18
Arkansas,,2021-04-14,49.98
Arkansas,,2021-04-15,50.87
Arkansas,,2021-04-16,51.75
Arkansas,,2021-04-17,52.55
Arkansas,,2021-04-18,53.41
Arkansas,,2021-04-19,53.63
Arkansas,,2021-04-20,53.85
Arkansas,,2021-04-21,54.52
Arkansas,,2021-04-22,55.24
Arkansas,,2021-04-23,55.94
Arkansas,,2021-04-24,56.58
Arkansas,,2021-04-25,57.15
Arkansas,,2021-04-26,57.47
Arkansas,,2021-04-27,57.58
Arkansas,,2021-04-28,58.1
Arkansas,,2021-04-29,58.72
Arkansas,,2021-04-30,59.23
Arkansas,,2021-05-01,59.77
Arkansas,,2021-05-02,60.45
Arkansas,,2021-05-03,60.64
Arkansas,,2021-05-04,60.79
Arkansas,,2021-05-05,61.15
Arkansas,,2021-05-06,61.65
Arkansas,,2021-05-07,62.04
Arkansas,,2021-05-08,62.48
Arkansas,,2021-05-09,62.96
Arkansas,,2021-05-10,63.13
Arkansas,,2021-05-11,63.29
Arkansas,,2021-05-12,63.6
Arkansas,,2021-05-13,63.91
Arkansas,,2021-05-14,64.25
Arkansas,,2021-05-15,64.77
Arkansas,,2021-05-16,65.17
Arkansas,,2021-05-17,65.29
Arkansas,,2021-05-18,65.4
Arkansas,,2021-05-19,65.64
Arkansas,,2021-05-20,65.98
Arkansas,,2021-05-21,66.37
Arkansas,,2021-05-22,66.8
Arkansas,,2021-05-23,67.11
Arkansas,,2021-05-24,67.26
Arkansas,,2021-05-25,67.34
Arkansas,,2021-05-26,67.66
Arkansas,,2021-05-27,67.96
Arkansas,,2021-05-28,68.22
Arkansas,,2021-05-29,68.56
Arkansas,,2021-05-30,68.83
Arkansas,,2021-06-01,68.97
Arkansas,,2021-06-02,69.03
Arkansas,,2021-06-03,69.23
Arkansas,,2021-06-04,69.44
